SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532351,AKSH OPTIFIB,T ,Q,40.95,40.95,39.20,40.55,40.55,40.60,813,207277,8305398.00,
532354,VIRGOGLOB   ,XT,Q,0.41,0.41,0.41,0.41,0.41,0.43,1,200,82.00,
532355,PICTURHOUSE ,X ,Q,6.71,7.44,6.71,7.00,7.00,7.08,82,6610,46449.00,
532356,TRIVENI ENGG,B ,Q,72.00,73.05,69.50,70.20,70.20,73.65,1200,109175,7675103.00,
532357,MUKTA ARTS  ,B ,Q,93.70,94.80,92.80,94.05,94.05,94.15,70,6524,610387.00,
532359,HITKIT GLOB ,X ,Q,0.30,0.30,0.30,0.30,0.30,0.29,2,2000,600.00,
532362,NAGPUR POWER,X ,Q,43.00,44.00,42.50,42.65,42.65,43.00,39,5901,253705.00,
532365,DYNACONS SYS,B ,Q,47.35,49.80,47.00,48.80,49.80,48.65,88,19591,949899.00,
532366,PNB GILTS   ,B ,Q,45.95,46.20,44.85,45.45,45.15,45.75,456,72487,3295708.00,
532368,YBRANTDIGI  ,T ,Q,6.92,7.60,6.92,7.02,7.02,7.28,482,320095,2245307.00,
532369,RAMCO INDS. ,B ,Q,302.45,311.80,301.00,304.05,304.05,301.25,1041,44171,13514818.00,
532370,RAMCO  SYSTM,B ,Q,515.90,522.55,503.80,510.10,510.10,516.20,187,4493,2299158.00,
532371,TATA TELESER,T ,Q,7.37,7.37,6.82,7.06,7.06,7.17,507,451864,3161231.00,
532372,VIRINCHI    ,X ,Q,130.00,133.80,124.05,130.80,130.80,130.40,609,66228,8586462.00,
532373,WEPSOLN     ,X ,Q,54.10,55.40,54.00,54.15,54.00,54.90,25,7556,410216.00,
532374,STER TECH   ,A ,Q,391.80,391.80,372.90,376.45,376.45,389.00,5447,386595,146669373.00,
532375,TIPSINDUSTR ,T ,Q,113.00,114.95,110.50,111.20,114.80,112.05,26,3434,383520.00,
532378,UNIVERSAL A ,XT,Q,0.89,0.89,0.89,0.89,0.89,0.87,1,100,89.00,
532379,FIRSTOBJ    ,X ,Q,15.10,15.50,15.05,15.15,15.15,15.25,17,6137,93505.00,
532380,BABA ARTS   ,X ,Q,2.86,3.00,2.85,2.85,2.85,3.00,18,18204,52952.00,
532382,BALAJI TELE.,B ,Q,157.05,160.80,155.00,155.30,155.00,156.35,382,32520,5116279.00,
532384,TYCHE INDS  ,X ,Q,132.15,138.00,132.05,135.20,135.00,135.95,46,6596,883309.00,
532386,CALIFORN.SOF,T ,Q,70.95,70.95,70.95,70.95,70.95,74.65,36,9492,673457.00,
532387,PRITISHN COM,T ,Q,23.25,24.00,22.50,23.45,24.00,23.25,31,4736,109801.00,
532388,INDIAN OVER.,A ,Q,23.10,23.45,22.85,23.05,23.00,23.15,329,108480,2504102.00,
532390,TAJ GVK HOTL,B ,Q,182.45,189.45,181.90,185.65,185.65,181.90,626,27292,5059066.00,
532391,OPTO CIRCUIT,T ,Q,9.60,9.80,9.20,9.71,9.71,9.64,189,89073,844448.00,
532392,CREATIVE EYE,B ,Q,4.70,4.70,4.56,4.58,4.58,4.80,10,5100,23366.00,
532395,AXISCADES   ,B ,Q,196.05,202.70,190.70,195.80,195.80,194.00,906,51673,10105578.00,
532397,ARMS PAPER  ,Z ,Q,1.32,1.32,1.32,1.32,1.32,1.38,3,14057,18555.00,
532398,UMESL       ,B ,Q,1.77,1.85,1.77,1.85,1.85,1.86,2,10,18.00,
532400,KPIT        ,A ,Q,191.85,197.85,191.20,196.45,196.45,192.50,1512,156422,30395971.00,
532401,VIJAYA BANK ,A ,Q,65.30,67.20,65.10,66.60,66.60,65.45,627,119175,7882662.00,
